epochs , trainloss , Train-acc,val_acc , test_acc 
0,1.3091822862625122,51.724137931034484,42.95704295704296,41.45854145854146
1,1.1886558532714844,44.827586206896555,42.557442557442556,40.05994005994006
2,1.3631097078323364,31.03448275862069,42.65734265734266,42.05794205794206
3,1.1097371578216553,44.827586206896555,44.955044955044954,43.056943056943055
4,1.0847764015197754,62.06896551724138,49.95004995004995,48.451548451548454
5,1.27748441696167,58.62068965517241,52.047952047952045,53.34665334665335
6,0.9483814835548401,65.51724137931035,54.24575424575425,52.747252747252745
7,0.8723857998847961,55.172413793103445,56.14385614385614,56.743256743256744
8,0.9647256135940552,62.06896551724138,58.54145854145854,57.142857142857146
9,0.771485447883606,75.86206896551724,58.44155844155844,61.83816183816184
10,0.8583399057388306,68.96551724137932,60.43956043956044,61.03896103896104
11,0.7464578747749329,72.41379310344827,67.23276723276723,66.53346653346654
12,0.7048298120498657,75.86206896551724,69.93006993006993,70.62937062937063
13,0.6554188132286072,82.75862068965517,71.42857142857143,72.52747252747253
14,0.7322709560394287,75.86206896551724,67.43256743256744,66.73326673326673
15,0.7611573934555054,79.3103448275862,70.72927072927072,73.32667332667333
16,0.8472349047660828,72.41379310344827,74.82517482517483,75.52447552447552
17,0.4103120267391205,93.10344827586206,70.92907092907093,73.92607392607393
18,0.48477962613105774,79.3103448275862,73.42657342657343,74.42557442557442
19,0.5508983731269836,82.75862068965517,78.12187812187813,78.52147852147853
20,0.35794034600257874,89.65517241379311,76.42357642357642,75.52447552447552
21,0.34690698981285095,75.86206896551724,77.82217782217782,78.72127872127872
22,0.5186740756034851,72.41379310344827,78.82117882117882,78.62137862137862
23,0.2646554410457611,86.20689655172414,77.12287712287713,78.92107892107892
24,0.3745306730270386,86.20689655172414,75.12487512487513,78.22177822177822
25,0.3664188086986542,79.3103448275862,76.02397602397602,74.62537462537462
26,0.3706241548061371,89.65517241379311,78.02197802197803,79.92007992007991
27,0.3515397310256958,82.75862068965517,78.72127872127872,81.11888111888112
28,0.4476393759250641,82.75862068965517,80.71928071928072,82.91708291708292
29,0.23678062856197357,86.20689655172414,79.42057942057941,81.31868131868131
