epochs , trainloss , Train-acc,val_acc , test_acc 
0,2.2483322620391846,25.0,23.215476984656437,23.588039867109636
1,2.1724660396575928,7.142857142857143,23.815877251501,24.385382059800666
2,1.723860740661621,35.714285714285715,36.2241494329553,36.01328903654485
3,1.6168521642684937,35.714285714285715,36.09072715143429,37.40863787375415
4,1.6845985651016235,46.42857142857143,40.56037358238826,40.46511627906977
5,1.8728989362716675,25.0,46.6977985323549,47.10963455149502
6,1.647227168083191,42.857142857142854,50.03335557038025,52.75747508305648
7,1.6883058547973633,46.42857142857143,52.76851234156104,52.22591362126246
8,1.044650673866272,67.85714285714286,59.506337558372245,59.60132890365448
9,1.1212265491485596,75.0,59.30620413609073,58.538205980066444
10,1.2824897766113281,53.57142857142857,61.10740493662442,62.92358803986711
11,1.0738952159881592,64.28571428571429,61.574382921947965,60.79734219269103
12,0.6998150944709778,71.42857142857143,63.97598398932622,65.24916943521595
13,0.5288355350494385,82.14285714285714,65.6437625083389,65.98006644518273
14,0.6135358810424805,85.71428571428571,66.97798532354904,66.31229235880399
15,0.9780362844467163,53.57142857142857,66.6444296197465,65.04983388704319
16,0.7775346040725708,71.42857142857143,69.04603068712476,68.90365448504983
17,1.0955281257629395,67.85714285714286,71.31420947298199,70.03322259136213
18,0.525596559047699,85.71428571428571,69.37958639092729,69.96677740863787
19,0.7259517908096313,75.0,71.31420947298199,70.29900332225914
20,0.5696411728858948,78.57142857142857,70.64709806537692,71.16279069767442
21,0.726276695728302,82.14285714285714,73.04869913275517,72.49169435215947
22,0.597197413444519,75.0,69.97998665777185,69.5016611295681
23,0.6554877161979675,71.42857142857143,74.44963308872582,71.96013289036544
24,0.4488997459411621,82.14285714285714,71.71447631754504,71.89368770764119
25,0.7616659998893738,75.0,72.11474316210807,73.95348837209302
26,0.6833730936050415,78.57142857142857,75.51701134089393,74.28571428571429
27,0.2820501923561096,92.85714285714286,73.58238825883923,72.95681063122923
28,0.7814978957176208,64.28571428571429,75.05003335557038,74.95016611295681
29,0.8663714528083801,71.42857142857143,73.3155436957972,74.01993355481727
