epochs , trainloss , Train-acc,val_acc , test_acc 
0,0.19391575455665588,93.75,96.2
1,0.09858664125204086,96.875,96.4
2,0.11072679609060287,96.875,97.0
3,0.05536854267120361,100.0,97.0
4,0.011292644776403904,100.0,97.0
5,0.025243069976568222,100.0,96.8
6,0.029686929658055305,100.0,96.8
7,0.13569121062755585,93.75,97.4
8,0.01565590128302574,100.0,97.4
9,0.012636836618185043,100.0,97.6
10,0.2006712406873703,90.625,97.6
11,0.020262690261006355,100.0,97.6
12,0.025089304894208908,100.0,97.6
13,0.04504785314202309,100.0,97.8
14,0.084732785820961,93.75,96.4
15,0.06315673887729645,96.875,96.4
16,0.02919715829193592,100.0,98.4
17,0.0698031336069107,96.875,97.0
18,0.12837451696395874,93.75,97.0
19,0.028474818915128708,100.0,97.6
20,0.0293190386146307,100.0,97.4
21,0.011736315675079823,100.0,97.6
22,0.06251484155654907,96.875,97.0
23,0.0753585547208786,96.875,97.6
24,0.01728803478181362,100.0,97.6
25,0.008453511632978916,100.0,97.2
26,0.0063019562512636185,100.0,97.6
27,0.0061608268879354,100.0,97.4
28,0.18436117470264435,96.875,97.6
29,0.02066355012357235,100.0,97.6
