epochs , trainloss , Train-acc,val_acc , test_acc 
0,1.6825629472732544,46.42857142857143,34.75083056478405,34.02268178785857
1,1.787652850151062,46.42857142857143,44.053156146179404,44.829886591060706
2,1.2649097442626953,42.857142857142854,49.90033222591362,49.36624416277518
3,1.1168264150619507,60.714285714285715,51.16279069767442,50.833889259506336
4,0.9629730582237244,71.42857142857143,62.458471760797345,59.30620413609073
5,1.0660648345947266,75.0,64.45182724252491,65.97731821214143
6,1.0259287357330322,60.714285714285715,66.84385382059801,66.04402935290193
7,0.6078768372535706,82.14285714285714,66.37873754152824,66.6444296197465
8,0.9442038536071777,75.0,66.64451827242524,67.71180787191462
9,0.7098354697227478,85.71428571428571,72.29235880398672,72.51501000667112
10,0.7071799635887146,78.57142857142857,71.89368770764119,70.31354236157438
11,0.768198549747467,71.42857142857143,74.61794019933555,73.71581054036024
12,0.7876891493797302,75.0,75.34883720930233,75.2501667778519
13,0.6606704592704773,85.71428571428571,73.95348837209302,72.98198799199466
14,0.5594020485877991,82.14285714285714,71.62790697674419,72.91527685123415
15,0.6302791237831116,78.57142857142857,71.56146179401993,72.71514342895263
16,0.5611428618431091,82.14285714285714,76.94352159468438,79.51967978652435
17,0.6309342980384827,82.14285714285714,79.26910299003322,79.78652434956638
18,0.31986716389656067,89.28571428571429,78.67109634551495,79.58639092728485
19,0.44565752148628235,82.14285714285714,79.26910299003322,80.920613742495
20,0.23420146107673645,92.85714285714286,76.67774086378738,76.184122748499
21,0.4076366424560547,82.14285714285714,80.0,79.65310206804536
22,0.5605796575546265,78.57142857142857,79.40199335548172,79.51967978652435
23,0.3903280198574066,89.28571428571429,80.86378737541528,82.12141427618413
24,0.3326705992221832,85.71428571428571,80.39867109634551,80.85390260173449
25,0.34714680910110474,89.28571428571429,79.33554817275747,80.25350233488993
26,0.409548282623291,85.71428571428571,81.72757475083057,81.58772515010007
27,0.4435255229473114,78.57142857142857,80.33222591362126,81.8545697131421
28,0.3539937138557434,82.14285714285714,81.06312292358804,81.38759172781855
29,0.41199159622192383,89.28571428571429,81.86046511627907,81.72114743162108
